Method,Threads,HashBits,Throughput(MT/s)
concurrent,1,1,13.90
concurrent,1,2,14.65
concurrent,1,3,16.00
concurrent,1,4,16.86
concurrent,1,5,17.16
concurrent,1,6,15.98
concurrent,1,7,15.96
concurrent,1,8,15.97
concurrent,1,9,15.94
concurrent,1,10,15.74
concurrent,1,11,15.19
concurrent,1,12,14.59
concurrent,1,13,14.09
concurrent,1,14,13.10
concurrent,1,15,11.82
concurrent,1,16,10.73
concurrent,1,17,9.59
concurrent,1,18,6.59
concurrent,2,1,4.72
concurrent,2,2,4.96
concurrent,2,3,4.77
concurrent,2,4,5.15
concurrent,2,5,6.17
concurrent,2,6,7.61
concurrent,2,7,9.48
concurrent,2,8,11.31
concurrent,2,9,12.32
concurrent,2,10,13.12
concurrent,2,11,13.59
concurrent,2,12,13.53
concurrent,2,13,13.70
concurrent,2,14,13.46
concurrent,2,15,12.90
concurrent,2,16,12.08
concurrent,2,17,11.29
concurrent,2,18,9.86
concurrent,4,1,4.59
concurrent,4,2,4.45
concurrent,4,3,4.88
concurrent,4,4,5.43
concurrent,4,5,6.67
concurrent,4,6,8.51
concurrent,4,7,11.61
concurrent,4,8,14.80
concurrent,4,9,18.18
concurrent,4,10,20.79
concurrent,4,11,23.22
concurrent,4,12,24.32
concurrent,4,13,24.08
concurrent,4,14,24.25
concurrent,4,15,23.61
concurrent,4,16,22.08
concurrent,4,17,20.10
concurrent,4,18,18.79
concurrent,8,1,3.50
concurrent,8,2,3.22
concurrent,8,3,4.29
concurrent,8,4,5.41
concurrent,8,5,6.78
concurrent,8,6,9.54
concurrent,8,7,12.98
concurrent,8,8,18.74
concurrent,8,9,23.53
concurrent,8,10,30.35
concurrent,8,11,38.44
concurrent,8,12,43.76
concurrent,8,13,45.41
concurrent,8,14,45.35
concurrent,8,15,44.53
concurrent,8,16,41.61
concurrent,8,17,36.68
concurrent,8,18,35.18
concurrent,16,1,2.98
concurrent,16,2,2.87
concurrent,16,3,4.17
concurrent,16,4,5.61
concurrent,16,5,7.48
concurrent,16,6,10.66
concurrent,16,7,15.93
concurrent,16,8,22.21
concurrent,16,9,31.46
concurrent,16,10,44.12
concurrent,16,11,61.73
concurrent,16,12,77.45
concurrent,16,13,83.09
concurrent,16,14,82.46
concurrent,16,15,76.40
concurrent,16,16,60.05
concurrent,16,17,42.02
concurrent,16,18,48.78
concurrent,32,1,2.42
concurrent,32,2,2.60
concurrent,32,3,4.03
concurrent,32,4,5.96
concurrent,32,5,8.48
concurrent,32,6,13.59
concurrent,32,7,20.91
concurrent,32,8,30.51
concurrent,32,9,45.60
concurrent,32,10,63.09
concurrent,32,11,85.78
concurrent,32,12,103.51
concurrent,32,13,110.15
concurrent,32,14,102.75
concurrent,32,15,93.85
concurrent,32,16,68.45
concurrent,32,17,46.75
concurrent,32,18,54.58

