Method,Threads,HashBits,Throughput(MT/s)
concurrent,1,1,16.20
concurrent,1,2,16.61
concurrent,1,3,16.60
concurrent,1,4,16.55
concurrent,1,5,16.47
concurrent,1,6,14.25
concurrent,1,7,14.55
concurrent,1,8,14.53
concurrent,1,9,14.54
concurrent,1,10,14.22
concurrent,1,11,14.02
concurrent,1,12,13.35
concurrent,1,13,12.87
concurrent,1,14,11.75
concurrent,1,15,10.12
concurrent,1,16,9.28
concurrent,1,17,8.41
concurrent,1,18,7.03
concurrent,2,1,7.05
concurrent,2,2,7.37
concurrent,2,3,7.87
concurrent,2,4,8.42
concurrent,2,5,9.54
concurrent,2,6,11.38
concurrent,2,7,13.50
concurrent,2,8,15.27
concurrent,2,9,15.70
concurrent,2,10,17.64
concurrent,2,11,17.58
concurrent,2,12,16.92
concurrent,2,13,18.10
concurrent,2,14,17.86
concurrent,2,15,17.03
concurrent,2,16,16.46
concurrent,2,17,14.96
concurrent,2,18,12.62
concurrent,4,1,4.87
concurrent,4,2,5.11
concurrent,4,3,5.93
concurrent,4,4,6.58
concurrent,4,5,7.92
concurrent,4,6,10.16
concurrent,4,7,13.05
concurrent,4,8,16.34
concurrent,4,9,19.23
concurrent,4,10,21.54
concurrent,4,11,24.26
concurrent,4,12,25.41
concurrent,4,13,25.14
concurrent,4,14,24.43
concurrent,4,15,23.17
concurrent,4,16,20.82
concurrent,4,17,20.14
concurrent,4,18,18.73
concurrent,8,1,3.23
concurrent,8,2,3.49
concurrent,8,3,4.36
concurrent,8,4,5.18
concurrent,8,5,7.02
concurrent,8,6,9.61
concurrent,8,7,13.64
concurrent,8,8,18.62
concurrent,8,9,24.73
concurrent,8,10,31.57
concurrent,8,11,39.71
concurrent,8,12,45.33
concurrent,8,13,45.63
concurrent,8,14,46.14
concurrent,8,15,45.63
concurrent,8,16,40.78
concurrent,8,17,35.82
concurrent,8,18,34.55
concurrent,16,1,2.62
concurrent,16,2,2.98
concurrent,16,3,4.23
concurrent,16,4,5.46
concurrent,16,5,7.58
concurrent,16,6,11.31
concurrent,16,7,18.43
concurrent,16,8,26.41
concurrent,16,9,38.10
concurrent,16,10,50.95
concurrent,16,11,65.37
concurrent,16,12,74.24
concurrent,16,13,76.76
concurrent,16,14,75.83
concurrent,16,15,70.67
concurrent,16,16,60.35
concurrent,16,17,43.84
concurrent,16,18,52.15
concurrent,32,1,2.11
concurrent,32,2,2.79
concurrent,32,3,4.16
concurrent,32,4,5.71
concurrent,32,5,8.31
concurrent,32,6,13.56
concurrent,32,7,20.76
concurrent,32,8,30.67
concurrent,32,9,45.12
concurrent,32,10,61.22
concurrent,32,11,84.42
concurrent,32,12,99.19
concurrent,32,13,105.94
concurrent,32,14,102.55
concurrent,32,15,92.31
concurrent,32,16,70.01
concurrent,32,17,47.55
concurrent,32,18,58.21
