Method,Threads,HashBits,Throughput(MT/s)
independent,1,1,35.47
independent,1,2,48.26
independent,1,3,58.35
independent,1,4,65.51
independent,1,5,69.14
independent,1,6,60.25
independent,1,7,59.67
independent,1,8,59.88
independent,1,9,59.91
independent,1,10,58.75
independent,1,11,47.69
independent,1,12,39.79
independent,1,13,35.36
independent,1,14,31.80
independent,1,15,27.21
independent,1,16,23.36
independent,1,17,19.10
independent,1,18,13.48
independent,2,1,73.70
independent,2,2,56.51
independent,2,3,53.42
independent,2,4,49.60
independent,2,5,77.53
independent,2,6,83.89
independent,2,7,97.59
independent,2,8,105.86
independent,2,9,112.80
independent,2,10,111.69
independent,2,11,93.49
independent,2,12,77.25
independent,2,13,70.08
independent,2,14,61.17
independent,2,15,51.79
independent,2,16,44.97
independent,2,17,36.20
independent,2,18,26.63
independent,4,1,77.59
independent,4,2,58.81
independent,4,3,54.51
independent,4,4,73.10
independent,4,5,103.99
independent,4,6,124.03
independent,4,7,173.85
independent,4,8,176.31
independent,4,9,198.88
independent,4,10,184.10
independent,4,11,169.33
independent,4,12,132.28
independent,4,13,125.15
independent,4,14,98.42
independent,4,15,87.84
independent,4,16,72.10
independent,4,17,55.26
independent,4,18,43.10
independent,8,1,114.86
independent,8,2,107.78
independent,8,3,99.26
independent,8,4,121.88
independent,8,5,168.32
independent,8,6,198.24
independent,8,7,227.42
independent,8,8,338.34
independent,8,9,348.07
independent,8,10,342.39
independent,8,11,290.87
independent,8,12,234.28
independent,8,13,183.35
independent,8,14,131.56
independent,8,15,90.00
independent,8,16,64.21
independent,8,17,47.76
independent,8,18,46.23
independent,16,1,174.08
independent,16,2,168.33
independent,16,3,178.10
independent,16,4,188.22
independent,16,5,254.46
independent,16,6,314.02
independent,16,7,413.78
independent,16,8,654.72
independent,16,9,638.67
independent,16,10,614.37
independent,16,11,450.15
independent,16,12,252.50
independent,16,13,131.95
independent,16,14,86.08
independent,16,15,61.91
independent,16,16,47.07
independent,16,17,37.10
independent,16,18,42.04
independent,32,1,159.10
independent,32,2,174.21
independent,32,3,210.47
independent,32,4,242.23
independent,32,5,358.57
independent,32,6,506.06
independent,32,7,770.99
independent,32,8,793.49
independent,32,9,765.21
independent,32,10,622.80
independent,32,11,267.85
independent,32,12,164.53
independent,32,13,90.10
independent,32,14,63.59
independent,32,15,48.52
independent,32,16,38.51
independent,32,17,31.91
independent,32,18,35.98

