Method,Threads,HashBits,Throughput(MT/s)
independent,1,1,65.29
independent,1,2,65.40
independent,1,3,65.43
independent,1,4,65.39
independent,1,5,65.36
independent,1,6,59.06
independent,1,7,59.00
independent,1,8,58.90
independent,1,9,58.31
independent,1,10,57.78
independent,1,11,49.51
independent,1,12,42.00
independent,1,13,37.20
independent,1,14,33.26
independent,1,15,27.94
independent,1,16,23.85
independent,1,17,20.05
independent,1,18,12.85
independent,2,1,76.38
independent,2,2,57.33
independent,2,3,56.82
independent,2,4,61.99
independent,2,5,81.90
independent,2,6,100.84
independent,2,7,106.71
independent,2,8,109.79
independent,2,9,110.12
independent,2,10,112.54
independent,2,11,92.78
independent,2,12,74.36
independent,2,13,65.66
independent,2,14,52.94
independent,2,15,43.21
independent,2,16,37.70
independent,2,17,29.66
independent,2,18,20.77
independent,4,1,91.85
independent,4,2,63.78
independent,4,3,54.16
independent,4,4,75.39
independent,4,5,128.22
independent,4,6,139.85
independent,4,7,169.39
independent,4,8,184.30
independent,4,9,214.06
independent,4,10,214.64
independent,4,11,171.31
independent,4,12,135.87
independent,4,13,101.89
independent,4,14,69.24
independent,4,15,52.47
independent,4,16,35.26
independent,4,17,28.95
independent,4,18,33.30
independent,8,1,131.76
independent,8,2,85.50
independent,8,3,90.14
independent,8,4,130.25
independent,8,5,199.90
independent,8,6,235.05
independent,8,7,220.03
independent,8,8,302.93
independent,8,9,322.70
independent,8,10,323.53
independent,8,11,239.76
independent,8,12,152.53
independent,8,13,79.90
independent,8,14,51.23
independent,8,15,36.87
independent,8,16,27.85
independent,8,17,19.13
independent,8,18,27.95
independent,16,1,122.60
independent,16,2,120.17
independent,16,3,138.38
independent,16,4,183.78
independent,16,5,248.14
independent,16,6,301.97
independent,16,7,375.67
independent,16,8,426.27
independent,16,9,401.03
independent,16,10,333.79
independent,16,11,215.66
independent,16,12,137.64
independent,16,13,70.13
independent,16,14,45.63
independent,16,15,33.75
independent,16,16,23.25
independent,16,17,17.44
independent,16,18,28.83
independent,32,1,161.95
independent,32,2,161.50
independent,32,3,180.65
independent,32,4,240.10
independent,32,5,290.89
independent,32,6,420.07
independent,32,7,511.53
independent,32,8,534.47
independent,32,9,480.14
independent,32,10,346.14
independent,32,11,159.01
independent,32,12,94.44
independent,32,13,49.19
independent,32,14,30.02
independent,32,15,25.73
independent,32,16,18.93
independent,32,17,15.31
independent,32,18,23.34
