Method,Threads,HashBits,Throughput(MT/s)
independent,1,1,35.15
independent,1,2,48.02
independent,1,3,58.21
independent,1,4,65.17
independent,1,5,68.59
independent,1,6,59.74
independent,1,7,59.38
independent,1,8,59.66
independent,1,9,59.71
independent,1,10,58.68
independent,1,11,47.89
independent,1,12,39.99
independent,1,13,35.62
independent,1,14,32.00
independent,1,15,27.32
independent,1,16,23.43
independent,1,17,19.15
independent,1,18,13.55
independent,2,1,69.89
independent,2,2,57.64
independent,2,3,54.36
independent,2,4,47.41
independent,2,5,75.72
independent,2,6,86.15
independent,2,7,97.36
independent,2,8,106.09
independent,2,9,110.24
independent,2,10,113.92
independent,2,11,92.83
independent,2,12,78.68
independent,2,13,70.45
independent,2,14,61.39
independent,2,15,51.37
independent,2,16,44.47
independent,2,17,36.58
independent,2,18,26.39
independent,4,1,84.46
independent,4,2,60.53
independent,4,3,56.47
independent,4,4,71.37
independent,4,5,99.96
independent,4,6,123.71
independent,4,7,152.18
independent,4,8,188.74
independent,4,9,182.23
independent,4,10,198.89
independent,4,11,155.88
independent,4,12,143.87
independent,4,13,120.19
independent,4,14,103.87
independent,4,15,87.21
independent,4,16,71.80
independent,4,17,55.16
independent,4,18,43.31
independent,8,1,115.98
independent,8,2,104.76
independent,8,3,100.61
independent,8,4,118.04
independent,8,5,155.92
independent,8,6,184.21
independent,8,7,224.96
independent,8,8,325.49
independent,8,9,350.86
independent,8,10,359.24
independent,8,11,302.60
independent,8,12,244.08
independent,8,13,184.87
independent,8,14,130.38
independent,8,15,86.95
independent,8,16,63.50
independent,8,17,46.97
independent,8,18,46.19
independent,16,1,177.25
independent,16,2,164.72
independent,16,3,179.40
independent,16,4,180.89
independent,16,5,241.47
independent,16,6,298.28
independent,16,7,428.54
independent,16,8,658.52
independent,16,9,644.60
independent,16,10,624.45
independent,16,11,451.33
independent,16,12,260.29
independent,16,13,133.80
independent,16,14,87.08
independent,16,15,63.56
independent,16,16,47.16
independent,16,17,37.23
independent,16,18,42.41
independent,32,1,158.43
independent,32,2,171.37
independent,32,3,205.11
independent,32,4,235.65
independent,32,5,357.55
independent,32,6,522.49
independent,32,7,763.03
independent,32,8,810.24
independent,32,9,775.44
independent,32,10,639.79
independent,32,11,310.89
independent,32,12,157.20
independent,32,13,96.90
independent,32,14,65.75
independent,32,15,48.01
independent,32,16,38.21
independent,32,17,32.70
independent,32,18,35.92
