Method,Threads,HashBits,Throughput(MT/s)
independent,1,3,14.32
independent,1,4,13.96
independent,1,5,12.95
independent,1,6,12.07
independent,1,7,12.00
independent,1,8,11.60
independent,2,3,25.16
independent,2,4,26.47
independent,2,5,24.78
independent,2,6,21.95
independent,2,7,21.34
independent,2,8,20.43
independent,4,3,42.52
independent,4,4,45.97
independent,4,5,41.48
independent,4,6,39.15
independent,4,7,37.92
independent,4,8,38.87
independent,8,3,61.98
independent,8,4,68.81
independent,8,5,61.95
independent,8,6,58.97
independent,8,7,59.83
independent,8,8,59.33
independent,16,3,77.52
independent,16,4,79.83
independent,16,5,74.81
independent,16,6,69.31
independent,16,7,69.72
independent,16,8,65.66
