Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.63
1,2,14.63
1,3,14.69
1,4,14.22
1,5,16.67
1,6,16.01
1,7,16.00
1,8,16.03
1,9,16.00
1,10,15.89
1,11,15.43
1,12,14.75
1,13,14.25
1,14,13.26
1,15,11.97
1,16,10.95
1,17,10.09
1,18,8.03
2,1,4.55
2,2,5.14
2,3,4.81
2,4,5.12
2,5,5.87
2,6,7.31
2,7,8.50
2,8,9.54
2,9,11.18
2,10,12.18
2,11,13.00
2,12,13.16
2,13,13.20
2,14,13.04
2,15,12.56
2,16,11.95
2,17,11.25
2,18,9.78
4,1,4.70
4,2,4.97
4,3,4.77
4,4,5.31
4,5,6.46
4,6,8.17
4,7,10.62
4,8,13.60
4,9,16.49
4,10,18.95
4,11,21.63
4,12,23.01
4,13,23.28
4,14,23.36
4,15,23.15
4,16,22.37
4,17,21.22
4,18,18.60
8,1,3.61
8,2,4.08
8,3,4.11
8,4,5.23
8,5,6.89
8,6,8.78
8,7,12.73
8,8,17.04
8,9,22.70
8,10,28.68
8,11,36.66
8,12,41.33
8,13,42.72
8,14,43.59
8,15,42.71
8,16,40.93
8,17,37.27
8,18,35.58
16,1,3.02
16,2,3.51
16,3,3.84
16,4,5.31
16,5,7.05
16,6,10.15
16,7,15.07
16,8,21.10
16,9,30.17
16,10,41.24
16,11,59.18
16,12,72.23
16,13,77.07
16,14,76.82
16,15,73.47
16,16,61.34
16,17,45.27
16,18,51.96
32,1,2.37
32,2,3.05
32,3,3.67
32,4,5.62
32,5,8.21
32,6,12.86
32,7,20.94
32,8,29.98
32,9,44.83
32,10,58.69
32,11,83.84
32,12,93.44
32,13,103.73
32,14,100.94
32,15,88.33
32,16,65.99
32,17,44.86
32,18,53.05
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.58
1,2,14.57
1,3,14.63
1,4,14.12
1,5,16.62
1,6,15.92
1,7,15.98
1,8,16.03
1,9,16.02
1,10,15.87
1,11,15.51
1,12,14.70
1,13,14.19
1,14,13.22
1,15,11.96
1,16,10.42
1,17,9.33
1,18,7.87
2,1,4.62
2,2,5.23
2,3,4.97
2,4,5.03
2,5,5.86
2,6,7.10
2,7,8.40
2,8,9.56
2,9,11.05
2,10,12.16
2,11,12.98
2,12,13.14
2,13,13.19
2,14,13.00
2,15,12.56
2,16,11.93
2,17,11.22
2,18,9.64
4,1,4.81
4,2,4.99
4,3,4.82
4,4,5.45
4,5,6.28
4,6,7.95
4,7,10.62
4,8,13.71
4,9,16.61
4,10,18.84
4,11,21.69
4,12,23.09
4,13,23.29
4,14,23.33
4,15,23.08
4,16,22.38
4,17,21.16
4,18,18.44
8,1,3.69
8,2,4.07
8,3,4.14
8,4,5.31
8,5,6.80
8,6,9.23
8,7,13.13
8,8,17.55
8,9,23.37
8,10,29.21
8,11,36.53
8,12,41.88
8,13,42.76
8,14,43.54
8,15,42.65
8,16,40.94
8,17,37.03
8,18,35.03
16,1,3.12
16,2,3.58
16,3,3.93
16,4,5.49
16,5,7.30
16,6,11.02
16,7,15.51
16,8,21.63
16,9,30.86
16,10,41.52
16,11,57.52
16,12,71.95
16,13,77.37
16,14,78.39
16,15,75.75
16,16,66.02
16,17,48.94
16,18,55.78
32,1,2.48
32,2,3.15
32,3,3.73
32,4,5.76
32,5,8.54
32,6,13.12
32,7,20.46
32,8,30.27
32,9,43.75
32,10,60.46
32,11,80.04
32,12,99.06
32,13,94.24
32,14,99.98
32,15,91.42
32,16,67.57
32,17,46.34
32,18,54.09
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.63
1,2,14.63
1,3,14.67
1,4,14.15
1,5,16.67
1,6,16.01
1,7,15.99
1,8,15.97
1,9,15.94
1,10,15.85
1,11,15.39
1,12,14.70
1,13,14.31
1,14,13.25
1,15,11.97
1,16,10.90
1,17,10.10
1,18,7.97
2,1,4.50
2,2,5.12
2,3,4.85
2,4,5.63
2,5,6.00
2,6,7.22
2,7,8.91
2,8,10.33
2,9,11.00
2,10,11.55
2,11,12.62
2,12,13.00
2,13,13.13
2,14,12.98
2,15,12.55
2,16,11.92
2,17,11.26
2,18,9.71
4,1,4.60
4,2,4.78
4,3,4.77
4,4,5.44
4,5,6.37
4,6,8.07
4,7,10.73
4,8,13.38
4,9,16.45
4,10,18.98
4,11,21.65
4,12,23.04
4,13,23.27
4,14,23.32
4,15,23.09
4,16,22.37
4,17,21.22
4,18,18.56
8,1,3.47
8,2,4.04
8,3,4.10
8,4,5.13
8,5,6.68
8,6,9.06
8,7,13.09
8,8,17.41
8,9,23.36
8,10,29.10
8,11,36.50
8,12,40.60
8,13,42.87
8,14,43.14
8,15,42.68
8,16,40.66
8,17,36.68
8,18,35.34
16,1,3.06
16,2,3.49
16,3,3.83
16,4,5.31
16,5,6.90
16,6,10.35
16,7,15.13
16,8,21.50
16,9,30.01
16,10,41.15
16,11,57.78
16,12,71.31
16,13,76.33
16,14,76.44
16,15,73.02
16,16,60.53
16,17,43.33
16,18,50.30
32,1,2.43
32,2,3.13
32,3,3.72
32,4,5.55
32,5,8.17
32,6,12.78
32,7,20.29
32,8,29.62
32,9,44.47
32,10,60.88
32,11,81.23
32,12,97.07
32,13,102.05
32,14,95.16
32,15,88.60
32,16,65.69
32,17,45.11
32,18,53.32
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.59
1,2,14.64
1,3,14.82
1,4,14.15
1,5,15.95
1,6,15.66
1,7,15.81
1,8,15.93
1,9,15.90
1,10,15.84
1,11,15.37
1,12,14.69
1,13,14.24
1,14,13.25
1,15,11.98
1,16,10.48
1,17,9.43
1,18,7.98
2,1,4.63
2,2,5.29
2,3,4.99
2,4,5.31
2,5,6.04
2,6,7.38
2,7,8.84
2,8,9.93
2,9,10.55
2,10,11.29
2,11,12.50
2,12,12.95
2,13,13.07
2,14,12.99
2,15,12.54
2,16,11.95
2,17,11.27
2,18,9.71
4,1,4.65
4,2,4.87
4,3,4.77
4,4,5.48
4,5,6.49
4,6,8.24
4,7,10.75
4,8,13.39
4,9,16.45
4,10,18.97
4,11,21.70
4,12,23.01
4,13,23.27
4,14,23.33
4,15,23.09
4,16,22.36
4,17,21.21
4,18,18.56
8,1,3.57
8,2,4.11
8,3,4.18
8,4,5.31
8,5,6.90
8,6,9.16
8,7,13.06
8,8,17.65
8,9,23.43
8,10,29.21
8,11,36.43
8,12,41.50
8,13,42.81
8,14,43.00
8,15,42.74
8,16,41.04
8,17,37.05
8,18,35.31
16,1,3.00
16,2,3.59
16,3,3.90
16,4,5.34
16,5,7.05
16,6,10.04
16,7,14.98
16,8,21.58
16,9,29.90
16,10,41.76
16,11,56.79
16,12,72.88
16,13,75.63
16,14,77.30
16,15,75.15
16,16,65.68
16,17,48.73
16,18,55.57
32,1,2.38
32,2,3.12
32,3,3.72
32,4,5.65
32,5,8.22
32,6,12.79
32,7,20.54
32,8,30.18
32,9,45.39
32,10,61.72
32,11,78.86
32,12,90.22
32,13,103.32
32,14,102.26
32,15,89.01
32,16,65.29
32,17,44.69
32,18,51.39
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.62
1,2,14.64
1,3,14.82
1,4,14.16
1,5,16.67
1,6,16.12
1,7,16.12
1,8,16.03
1,9,16.00
1,10,15.89
1,11,15.50
1,12,14.82
1,13,14.25
1,14,13.24
1,15,11.95
1,16,10.91
1,17,10.00
1,18,7.85
2,1,4.73
2,2,5.16
2,3,4.84
2,4,5.13
2,5,5.87
2,6,7.29
2,7,8.91
2,8,10.49
2,9,11.67
2,10,12.44
2,11,13.07
2,12,13.20
2,13,13.20
2,14,13.03
2,15,12.55
2,16,11.93
2,17,11.20
2,18,9.70
4,1,4.81
4,2,5.03
4,3,4.76
4,4,5.30
4,5,6.52
4,6,8.31
4,7,10.78
4,8,13.25
4,9,16.19
4,10,18.82
4,11,21.63
4,12,23.05
4,13,23.30
4,14,23.39
4,15,23.06
4,16,22.36
4,17,21.17
4,18,18.51
8,1,3.50
8,2,4.05
8,3,4.15
8,4,5.27
8,5,6.97
8,6,9.44
8,7,13.15
8,8,17.58
8,9,23.28
8,10,29.18
8,11,37.11
8,12,41.43
8,13,42.71
8,14,43.31
8,15,43.06
8,16,40.88
8,17,37.16
8,18,35.21
16,1,3.03
16,2,3.59
16,3,3.93
16,4,5.40
16,5,7.53
16,6,10.46
16,7,15.50
16,8,21.57
16,9,29.75
16,10,40.87
16,11,55.74
16,12,73.07
16,13,74.63
16,14,78.35
16,15,75.25
16,16,64.88
16,17,48.26
16,18,53.74
32,1,2.43
32,2,3.12
32,3,3.78
32,4,5.72
32,5,8.59
32,6,13.49
32,7,20.48
32,8,29.26
32,9,44.36
32,10,60.13
32,11,81.02
32,12,97.86
32,13,99.17
32,14,100.71
32,15,91.70
32,16,66.40
32,17,47.49
32,18,55.45
