Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.68
1,2,13.18
1,3,12.95
1,4,13.70
1,5,16.45
1,6,15.70
1,7,15.76
1,8,15.89
1,9,15.88
1,10,15.75
1,11,15.34
1,12,14.72
1,13,14.13
1,14,13.16
1,15,11.78
1,16,10.80
1,17,9.96
1,18,7.94
2,1,7.19
2,2,7.67
2,3,7.87
2,4,8.39
2,5,9.53
2,6,11.40
2,7,13.65
2,8,15.51
2,9,17.19
2,10,18.08
2,11,18.65
2,12,18.76
2,13,18.63
2,14,18.50
2,15,18.17
2,16,17.81
2,17,17.28
2,18,14.67
4,1,5.69
4,2,5.84
4,3,6.14
4,4,7.00
4,5,7.92
4,6,9.96
4,7,13.23
4,8,17.30
4,9,21.60
4,10,24.88
4,11,27.55
4,12,28.47
4,13,28.29
4,14,28.25
4,15,27.54
4,16,26.33
4,17,24.72
4,18,22.17
8,1,3.99
8,2,4.33
8,3,4.64
8,4,5.76
8,5,7.83
8,6,11.26
8,7,16.07
8,8,22.75
8,9,31.53
8,10,40.36
8,11,48.82
8,12,54.73
8,13,55.95
8,14,56.47
8,15,53.92
8,16,47.22
8,17,43.30
8,18,43.61
16,1,3.12
16,2,3.71
16,3,4.43
16,4,7.02
16,5,10.04
16,6,14.51
16,7,23.07
16,8,31.24
16,9,46.63
16,10,59.80
16,11,72.14
16,12,79.33
16,13,82.19
16,14,81.00
16,15,76.18
16,16,66.45
16,17,50.82
16,18,60.21
32,1,2.55
32,2,2.92
32,3,3.88
32,4,5.94
32,5,8.68
32,6,13.40
32,7,21.22
32,8,31.06
32,9,46.65
32,10,64.37
32,11,87.09
32,12,102.85
32,13,109.55
32,14,108.66
32,15,97.31
32,16,73.51
32,17,51.55
32,18,59.75
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.72
1,2,14.69
1,3,14.84
1,4,14.36
1,5,16.72
1,6,15.89
1,7,15.99
1,8,16.11
1,9,15.98
1,10,15.94
1,11,15.45
1,12,14.83
1,13,14.26
1,14,13.34
1,15,11.98
1,16,10.44
1,17,9.40
1,18,7.90
2,1,7.13
2,2,7.74
2,3,7.71
2,4,8.51
2,5,9.61
2,6,11.69
2,7,13.49
2,8,15.68
2,9,17.03
2,10,18.33
2,11,18.79
2,12,18.98
2,13,18.83
2,14,18.66
2,15,18.35
2,16,17.99
2,17,17.42
2,18,14.71
4,1,5.73
4,2,5.98
4,3,6.07
4,4,6.87
4,5,7.57
4,6,9.64
4,7,13.20
4,8,16.58
4,9,20.42
4,10,23.47
4,11,27.27
4,12,28.39
4,13,28.43
4,14,28.28
4,15,27.76
4,16,26.30
4,17,25.11
4,18,22.51
8,1,3.96
8,2,4.22
8,3,4.59
8,4,5.60
8,5,7.18
8,6,10.03
8,7,15.30
8,8,21.42
8,9,30.11
8,10,38.76
8,11,48.86
8,12,54.89
8,13,55.78
8,14,55.96
8,15,54.06
8,16,49.98
8,17,42.45
8,18,44.40
16,1,3.28
16,2,3.85
16,3,4.62
16,4,6.42
16,5,9.14
16,6,14.30
16,7,24.20
16,8,33.94
16,9,45.87
16,10,58.33
16,11,72.47
16,12,79.37
16,13,82.76
16,14,81.28
16,15,76.16
16,16,65.44
16,17,49.31
16,18,58.76
32,1,2.48
32,2,2.80
32,3,3.91
32,4,5.75
32,5,8.42
32,6,12.88
32,7,21.17
32,8,31.14
32,9,45.86
32,10,63.61
32,11,86.77
32,12,104.15
32,13,110.50
32,14,108.11
32,15,96.54
32,16,74.07
32,17,50.81
32,18,63.11
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.73
1,2,14.66
1,3,14.97
1,4,14.23
1,5,16.74
1,6,15.86
1,7,16.00
1,8,16.16
1,9,15.97
1,10,15.91
1,11,15.39
1,12,14.86
1,13,14.31
1,14,13.37
1,15,11.97
1,16,10.92
1,17,10.00
1,18,7.91
2,1,7.36
2,2,7.58
2,3,7.95
2,4,8.46
2,5,9.62
2,6,11.53
2,7,13.94
2,8,15.77
2,9,17.30
2,10,18.25
2,11,18.87
2,12,18.95
2,13,18.78
2,14,18.63
2,15,18.41
2,16,18.01
2,17,17.36
2,18,14.76
4,1,5.67
4,2,5.94
4,3,6.22
4,4,6.93
4,5,8.09
4,6,10.55
4,7,14.31
4,8,17.94
4,9,21.93
4,10,25.31
4,11,27.66
4,12,28.44
4,13,28.39
4,14,28.27
4,15,27.98
