Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.68
1,2,14.59
1,3,14.38
1,4,11.92
1,5,16.68
1,6,15.98
1,7,15.94
1,8,15.94
1,9,15.96
1,10,15.83
1,11,15.32
1,12,14.71
1,13,14.27
1,14,13.29
1,15,11.99
1,16,10.85
1,17,9.65
1,18,6.90
2,1,4.53
2,2,5.12
2,3,4.93
2,4,4.91
2,5,5.38
2,6,6.63
2,7,8.28
2,8,9.52
2,9,11.18
2,10,11.77
2,11,13.05
2,12,13.65
2,13,13.69
2,14,13.45
2,15,12.87
2,16,12.10
2,17,11.23
2,18,9.77
4,1,4.82
4,2,5.05
4,3,5.09
4,4,5.49
4,5,6.64
4,6,8.25
4,7,10.50
4,8,13.23
4,9,16.29
4,10,19.04
4,11,22.42
4,12,24.30
4,13,24.59
4,14,24.53
4,15,24.09
4,16,23.15
4,17,21.59
4,18,18.83
8,1,3.69
8,2,4.10
8,3,4.39
8,4,5.37
8,5,6.65
8,6,9.19
8,7,13.23
8,8,17.50
8,9,24.00
8,10,29.69
8,11,37.64
8,12,44.27
8,13,45.38
8,14,45.72
8,15,44.94
8,16,42.65
8,17,38.04
8,18,35.66
16,1,3.03
16,2,3.63
16,3,4.17
16,4,5.50
16,5,7.24
16,6,10.58
16,7,16.08
16,8,23.10
16,9,32.98
16,10,43.86
16,11,60.80
16,12,77.14
16,13,83.85
16,14,83.40
16,15,80.07
16,16,68.68
16,17,51.00
16,18,56.49
32,1,2.56
32,2,3.18
32,3,3.97
32,4,5.81
32,5,8.35
32,6,13.05
32,7,21.07
32,8,31.11
32,9,47.58
32,10,64.13
32,11,87.34
32,12,103.46
32,13,109.60
32,14,106.65
32,15,92.57
32,16,67.15
32,17,45.33
32,18,53.25
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.69
1,2,14.57
1,3,14.40
1,4,11.95
1,5,16.68
1,6,15.99
1,7,15.98
1,8,16.04
1,9,15.95
1,10,15.92
1,11,15.37
1,12,14.74
1,13,14.24
1,14,13.23
1,15,11.96
1,16,10.40
1,17,9.00
1,18,6.78
2,1,4.62
2,2,5.01
2,3,4.97
2,4,5.46
2,5,6.17
2,6,7.49
2,7,8.50
2,8,9.86
2,9,11.38
2,10,12.68
2,11,13.33
2,12,13.61
2,13,13.65
2,14,13.42
2,15,12.91
2,16,12.14
2,17,11.32
2,18,9.73
4,1,4.81
4,2,5.04
4,3,5.06
4,4,5.43
4,5,6.81
4,6,8.68
4,7,11.52
4,8,14.16
4,9,17.85
4,10,20.66
4,11,23.07
4,12,24.30
4,13,24.34
4,14,24.42
4,15,24.08
4,16,23.13
4,17,21.43
4,18,18.73
8,1,3.66
8,2,4.14
8,3,4.46
8,4,5.48
8,5,7.07
8,6,9.64
8,7,13.99
8,8,19.04
8,9,25.52
8,10,31.91
8,11,39.33
8,12,44.11
8,13,44.87
8,14,45.36
8,15,44.89
8,16,42.15
8,17,37.14
8,18,35.42
16,1,3.13
16,2,3.60
16,3,4.19
16,4,5.65
16,5,7.65
16,6,10.84
16,7,16.40
16,8,22.91
16,9,33.10
16,10,45.62
16,11,63.21
16,12,78.52
16,13,82.88
16,14,83.87
16,15,79.75
16,16,67.69
16,17,49.25
16,18,54.91
32,1,2.55
32,2,3.21
32,3,4.02
32,4,5.91
32,5,8.71
32,6,13.47
32,7,21.68
32,8,31.47
32,9,46.83
32,10,65.03
32,11,87.17
32,12,103.42
32,13,110.16
32,14,107.14
32,15,92.74
32,16,67.19
32,17,45.97
32,18,53.70
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.68
1,2,14.58
1,3,14.39
1,4,11.95
1,5,16.69
1,6,16.00
1,7,16.01
1,8,15.99
1,9,16.01
1,10,15.86
1,11,15.36
1,12,14.71
1,13,14.15
1,14,13.23
1,15,11.94
1,16,10.35
1,17,9.03
1,18,6.84
2,1,4.73
2,2,5.17
2,3,5.09
2,4,4.94
2,5,5.40
2,6,6.67
2,7,8.27
2,8,9.91
2,9,11.22
2,10,11.83
2,11,13.22
2,12,13.61
2,13,13.71
2,14,13.52
2,15,12.94
2,16,12.15
2,17,11.31
2,18,9.76
4,1,4.87
4,2,4.99
4,3,4.98
4,4,5.58
4,5,6.69
4,6,8.59
4,7,11.51
4,8,13.96
4,9,16.60
4,10,19.36
4,11,22.26
4,12,24.22
4,13,24.27
4,14,24.56
4,15,24.01
4,16,23.16
4,17,21.43
4,18,18.74
8,1,3.59
8,2,4.09
8,3,4.44
8,4,5.22
8,5,6.67
8,6,9.07
8,7,14.08
8,8,17.65
8,9,24.70
8,10,30.12
8,11,37.38
8,12,44.35
8,13,45.26
8,14,45.39
8,15,44.90
8,16,42.50
8,17,38.15
8,18,35.65
16,1,2.96
16,2,3.58
16,3,4.18
16,4,5.47
16,5,7.28
16,6,10.34
16,7,15.83
16,8,21.77
16,9,31.63
16,10,44.42
16,11,60.52
16,12,78.39
16,13,82.51
16,14,82.09
16,15,79.02
16,16,68.26
16,17,51.58
16,18,57.73
32,1,2.38
32,2,3.09
32,3,3.96
32,4,5.72
32,5,8.27
32,6,13.15
32,7,21.27
32,8,30.77
32,9,45.89
32,10,63.43
32,11,86.88
32,12,105.30
32,13,110.32
32,14,108.90
32,15,93.80
32,16,66.96
32,17,44.59
32,18,52.12
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.63
1,2,14.54
1,3,14.36
1,4,11.96
1,5,16.65
1,6,15.94
1,7,15.97
1,8,16.00
1,9,15.92
1,10,15.86
1,11,15.42
1,12,14.79
1,13,14.29
1,14,13.26
1,15,12.02
1,16,10.78
1,17,9.49
1,18,6.79
2,1,4.68
2,2,5.10
2,3,4.83
2,4,5.04
2,5,5.59
2,6,6.78
2,7,8.29
2,8,9.82
2,9,11.05
2,10,11.76
2,11,13.32
2,12,13.73
2,13,13.70
2,14,13.48
2,15,12.91
2,16,12.17
2,17,11.29
2,18,9.75
4,1,5.02
4,2,5.12
4,3,5.15
4,4,5.61
4,5,6.35
4,6,8.13
4,7,10.83
4,8,13.78
4,9,16.60
4,10,19.30
4,11,22.39
4,12,24.27
4,13,24.52
4,14,24.38
4,15,23.95
4,16,22.91
4,17,20.98
4,18,18.80
8,1,3.63
8,2,4.17
8,3,4.42
8,4,5.36
8,5,6.92
8,6,9.28
8,7,13.12
8,8,17.49
8,9,23.89
8,10,30.02
8,11,37.77
8,12,44.19
8,13,45.41
8,14,45.12
8,15,43.56
8,16,39.52
8,17,33.59
8,18,34.94
16,1,3.13
16,2,3.62
16,3,4.20
16,4,5.61
16,5,7.51
16,6,10.91
16,7,16.07
16,8,22.03
16,9,31.52
16,10,44.02
16,11,60.35
16,12,78.20
16,13,81.51
16,14,80.93
16,15,72.31
16,16,55.93
16,17,39.00
16,18,50.01
32,1,2.57
32,2,3.20
32,3,3.98
32,4,5.90
32,5,8.69
32,6,13.49
32,7,21.56
32,8,31.77
32,9,46.74
32,10,64.82
32,11,86.45
32,12,102.70
32,13,106.01
32,14,98.63
32,15,77.54
32,16,54.15
32,17,36.27
32,18,44.25
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
