Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,33.57
1,2,46.24
1,3,54.42
1,4,60.64
1,5,64.02
1,6,57.05
1,7,56.62
1,8,56.92
1,9,56.70
1,10,55.77
1,11,46.93
1,12,39.10
1,13,34.95
1,14,31.51
1,15,26.98
1,16,23.31
1,17,19.42
1,18,12.68
2,1,47.60
2,2,49.07
2,3,43.35
2,4,46.83
2,5,60.34
2,6,75.47
2,7,90.18
2,8,96.19
2,9,106.05
2,10,102.98
2,11,88.15
2,12,74.67
2,13,68.27
2,14,59.96
2,15,50.39
2,16,43.10
2,17,35.71
2,18,26.74
4,1,69.37
4,2,55.38
4,3,47.47
4,4,62.30
4,5,91.29
4,6,114.90
4,7,120.86
4,8,158.81
4,9,167.77
4,10,172.21
4,11,149.57
4,12,128.07
4,13,113.80
4,14,96.39
4,15,82.52
4,16,64.39
4,17,48.30
4,18,42.18
8,1,98.00
8,2,72.74
8,3,68.28
8,4,101.79
8,5,119.34
8,6,176.96
8,7,175.34
8,8,236.43
8,9,210.10
8,10,264.31
8,11,223.59
8,12,181.58
8,13,162.25
8,14,110.14
8,15,73.89
8,16,46.48
8,17,32.03
8,18,44.87
16,1,126.27
16,2,116.92
16,3,123.57
16,4,167.62
16,5,203.47
16,6,260.24
16,7,310.69
16,8,360.30
16,9,343.14
16,10,350.90
16,11,286.06
16,12,206.33
16,13,111.32
16,14,62.42
16,15,42.11
16,16,30.06
16,17,22.67
16,18,40.46
32,1,120.53
32,2,134.97
32,3,144.14
32,4,197.38
32,5,302.49
32,6,336.78
32,7,401.38
32,8,377.89
32,9,336.23
32,10,389.68
32,11,277.01
32,12,127.91
32,13,65.99
32,14,43.51
32,15,31.25
32,16,24.20
32,17,20.16
32,18,34.45
Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,34.75
1,2,46.32
1,3,55.94
1,4,60.71
1,5,66.16
1,6,62.24
1,7,62.43
1,8,61.13
1,9,62.73
1,10,61.27
1,11,48.31
1,12,41.02
1,13,36.72
1,14,32.73
1,15,27.74
1,16,23.66
1,17,19.84
1,18,12.89
2,1,52.95
2,2,46.26
2,3,43.12
2,4,46.19
2,5,60.90
2,6,73.43
2,7,83.45
2,8,90.94
2,9,95.84
2,10,100.15
2,11,85.98
2,12,73.22
2,13,66.65
2,14,59.24
2,15,49.89
2,16,43.19
2,17,36.70
2,18,26.22
4,1,69.24
4,2,57.09
4,3,46.57
4,4,60.83
4,5,92.71
4,6,113.15
4,7,146.15
4,8,166.96
4,9,124.71
4,10,175.82
4,11,146.20
4,12,129.72
4,13,114.48
4,14,93.42
4,15,81.98
4,16,64.16
4,17,47.82
4,18,43.12
8,1,92.17
8,2,72.04
8,3,66.90
8,4,100.64
8,5,135.08
8,6,165.68
8,7,188.17
8,8,207.33
8,9,208.06
8,10,211.47
8,11,220.72
8,12,212.56
8,13,144.24
8,14,112.70
8,15,74.10
8,16,46.26
8,17,31.52
8,18,43.62
16,1,116.35
16,2,114.38
16,3,121.04
16,4,154.48
16,5,228.86
16,6,253.56
16,7,321.66
16,8,353.31
16,9,356.53
16,10,303.40
16,11,300.19
16,12,220.77
16,13,116.78
16,14,62.89
16,15,42.12
16,16,29.82
16,17,22.40
16,18,38.89
32,1,120.73
32,2,130.64
32,3,156.69
32,4,193.71
32,5,272.02
32,6,347.21
32,7,380.47
32,8,400.87
32,9,375.25
32,10,353.88
32,11,256.18
32,12,143.02
32,13,66.21
32,14,42.97
32,15,31.08
32,16,24.08
32,17,19.73
32,18,34.75
Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,33.91
1,2,46.22
1,3,54.41
1,4,60.84
1,5,66.00
1,6,56.94
1,7,56.32
1,8,56.61
1,9,56.58
1,10,55.67
1,11,46.03
1,12,38.68
1,13,34.61
1,14,31.28
1,15,26.89
1,16,23.34
1,17,19.09
1,18,12.63
2,1,52.92
2,2,49.32
2,3,44.46
2,4,46.43
2,5,61.13
2,6,73.58
2,7,88.67
2,8,96.82
2,9,106.83
2,10,102.96
2,11,87.97
2,12,74.49
2,13,69.33
2,14,60.35
2,15,50.29
2,16,41.55
2,17,34.05
2,18,26.25
4,1,70.89
4,2,56.70
4,3,47.68
4,4,62.18
4,5,92.07
4,6,116.73
4,7,141.98
4,8,159.27
4,9,168.43
4,10,171.61
4,11,149.18
4,12,128.24
4,13,110.22
4,14,96.70
4,15,79.38
4,16,61.78
4,17,45.13
4,18,42.56
8,1,93.56
8,2,73.42
8,3,67.67
8,4,93.27
8,5,143.94
8,6,177.31
8,7,166.49
8,8,251.78
8,9,205.61
8,10,279.21
8,11,215.21
8,12,197.03
8,13,164.72
8,14,118.44
8,15,77.83
8,16,52.61
8,17,35.55
8,18,44.18
16,1,120.55
16,2,117.96
16,3,121.92
16,4,164.58
16,5,208.92
