Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,34.25
1,2,45.77
1,3,54.59
1,4,61.14
1,5,64.25
1,6,61.09
1,7,60.61
1,8,55.87
1,9,54.94
1,10,60.31
1,11,48.10
1,12,40.17
1,13,35.64
1,14,27.15
1,15,26.52
1,16,23.44
1,17,11.64
1,18,11.13
2,1,69.23
2,2,54.49
2,3,52.24
2,4,46.84
2,5,74.38
2,6,84.74
2,7,97.45
2,8,103.47
2,9,109.59
2,10,105.57
2,11,86.36
2,12,75.11
2,13,65.95
2,14,57.83
2,15,48.79
2,16,40.99
2,17,33.04
2,18,21.88
4,1,85.74
4,2,67.74
4,3,58.97
4,4,70.27
4,5,117.36
4,6,133.11
4,7,162.91
4,8,186.34
4,9,201.05
4,10,194.23
4,11,164.61
4,12,139.20
4,13,122.26
4,14,97.53
4,15,80.46
4,16,63.63
4,17,47.94
4,18,42.32
8,1,115.68
8,2,106.50
8,3,86.61
8,4,118.76
8,5,165.54
8,6,209.11
8,7,202.62
8,8,343.80
8,9,353.30
8,10,352.27
8,11,294.03
8,12,245.63
8,13,187.17
8,14,131.76
8,15,85.64
8,16,66.68
8,17,43.87
8,18,43.05
16,1,175.10
16,2,164.28
16,3,154.99
16,4,192.82
16,5,260.78
16,6,315.03
16,7,430.86
16,8,665.54
16,9,670.84
16,10,595.00
16,11,468.80
16,12,256.55
16,13,134.97
16,14,86.51
16,15,62.60
16,16,51.15
16,17,35.35
16,18,40.54
32,1,154.48
32,2,169.90
32,3,178.63
32,4,230.66
32,5,344.44
32,6,508.63
32,7,780.22
32,8,816.00
32,9,789.50
32,10,631.57
32,11,346.04
32,12,175.90
32,13,110.06
32,14,63.86
32,15,47.09
32,16,37.34
32,17,30.73
32,18,18.70
Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,33.94
1,2,45.77
1,3,54.64
1,4,60.98
1,5,64.38
1,6,61.12
1,7,60.89
1,8,61.38
1,9,61.17
1,10,59.92
1,11,48.27
1,12,40.10
1,13,35.62
1,14,32.15
1,15,27.46
1,16,23.03
1,17,11.50
1,18,11.13
2,1,68.01
2,2,54.03
2,3,51.78
2,4,46.07
2,5,71.85
2,6,84.27
2,7,94.70
2,8,102.41
2,9,106.71
2,10,107.52
2,11,89.36
2,12,75.07
2,13,67.28
2,14,53.58
2,15,48.48
