Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,33.96
1,2,45.31
1,3,54.39
1,4,60.75
1,5,64.04
1,6,56.82
1,7,56.69
1,8,56.56
1,9,57.10
1,10,57.54
1,11,46.19
1,12,38.85
1,13,34.68
1,14,31.42
1,15,27.18
1,16,23.16
1,17,19.26
1,18,12.53
2,1,69.62
2,2,54.16
2,3,50.62
2,4,48.68
2,5,72.55
2,6,83.65
2,7,95.90
2,8,101.23
2,9,105.95
2,10,105.48
2,11,90.57
2,12,77.02
2,13,68.81
2,14,60.68
2,15,51.49
2,16,44.81
2,17,37.29
2,18,26.90
4,1,75.24
4,2,59.82
4,3,51.54
4,4,71.83
4,5,116.13
4,6,136.09
4,7,164.09
4,8,189.10
4,9,196.00
4,10,201.35
4,11,173.17
4,12,132.70
4,13,126.19
4,14,103.54
4,15,86.89
4,16,72.96
4,17,55.83
4,18,44.35
8,1,110.14
8,2,105.74
8,3,87.79
8,4,119.75
8,5,171.98
8,6,215.29
8,7,250.51
8,8,349.90
8,9,376.69
8,10,378.86
8,11,308.50
8,12,250.34
8,13,183.10
8,14,125.40
8,15,87.96
8,16,64.58
8,17,48.41
8,18,47.10
16,1,178.58
16,2,165.28
16,3,154.80
16,4,192.64
16,5,257.57
16,6,336.05
16,7,443.34
16,8,663.03
16,9,664.72
16,10,617.12
16,11,462.62
16,12,243.21
16,13,131.52
16,14,85.82
16,15,68.22
16,16,48.05
16,17,37.40
16,18,42.46
32,1,156.77
32,2,175.35
32,3,183.46
32,4,240.54
32,5,356.07
32,6,558.20
32,7,794.78
32,8,821.40
32,9,817.48
32,10,656.71
32,11,341.55
32,12,180.56
32,13,121.20
32,14,72.15
32,15,50.57
32,16,40.34
32,17,33.44
32,18,36.04
Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,34.02
1,2,45.37
1,3,54.77
1,4,61.25
1,5,63.62
1,6,56.65
1,7,56.21
1,8,58.08
1,9,56.74
1,10,55.87
1,11,46.62
1,12,38.83
1,13,34.84
1,14,31.29
1,15,27.18
1,16,23.57
1,17,19.40
1,18,12.62
2,1,67.26
2,2,53.69
2,3,50.50
2,4,47.45
2,5,74.02
2,6,84.58
2,7,94.86
2,8,102.32
2,9,104.99
2,10,109.48
2,11,88.86
2,12,75.61
2,13,68.76
2,14,57.99
2,15,51.34
2,16,42.61
2,17,36.13
2,18,26.98
4,1,81.46
4,2,64.22
4,3,51.69
4,4,70.83
4,5,112.54
4,6,138.89
4,7,163.87
4,8,168.61
4,9,190.41
4,10,197.84
4,11,147.94
4,12,141.38
4,13,119.22
4,14,103.37
4,15,88.30
4,16,72.57
4,17,55.30
4,18,44.55
8,1,114.31
8,2,99.88
8,3,84.83
8,4,120.94
8,5,162.67
8,6,206.80
8,7,248.90
8,8,340.17
8,9,340.50
8,10,354.87
8,11,301.08
8,12,248.73
8,13,186.16
8,14,131.41
8,15,89.38
8,16,65.35
8,17,49.33
8,18,47.32
16,1,175.18
16,2,164.16
16,3,156.97
16,4,191.84
16,5,241.36
16,6,300.67
16,7,428.67
16,8,568.11
16,9,589.89
16,10,606.49
16,11,432.91
16,12,298.75
16,13,195.69
16,14,119.28
16,15,69.23
16,16,47.71
16,17,37.49
16,18,42.75
32,1,181.98
32,2,180.09
32,3,182.84
32,4,235.23
32,5,334.64
32,6,545.23
32,7,784.79
32,8,825.42
32,9,789.90
32,10,688.51
32,11,407.94
32,12,201.07
32,13,127.71
32,14,74.94
32,15,48.12
32,16,39.19
32,17,33.60
32,18,36.00
Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,33.94
1,2,46.96
1,3,54.55
1,4,62.60
1,5,64.01
1,6,57.91
1,7,56.55
1,8,56.74
1,9,56.62
1,10,56.04
1,11,44.57
1,12,38.52
1,13,34.61
1,14,31.42
1,15,26.57
1,16,23.43
1,17,19.53
1,18,12.68
2,1,69.52
2,2,51.35
2,3,52.03
2,4,47.48
2,5,70.55
2,6,82.71
2,7,91.94
2,8,99.53
2,9,103.37
2,10,104.65
2,11,89.81
2,12,75.94
2,13,64.18
2,14,60.78
2,15,49.54
2,16,45.07
2,17,37.29
2,18,27.42
4,1,87.18
4,2,65.04
4,3,52.06
4,4,70.74
4,5,111.28
4,6,136.13
4,7,160.37
4,8,190.50
4,9,199.18
4,10,201.04
4,11,170.37
4,12,142.58
4,13,126.49
4,14,97.91
4,15,87.68
4,16,71.49
4,17,55.70
4,18,44.29
8,1,109.27
8,2,100.79
8,3,87.29
8,4,119.63
8,5,155.15
8,6,196.27
8,7,236.55
8,8,339.38
8,9,374.10
8,10,335.16
8,11,302.42
8,12,246.58
8,13,174.43
8,14,124.10
8,15,95.61
8,16,64.66
8,17,48.54
8,18,46.96
16,1,164.85
16,2,159.25
16,3,151.45
16,4,177.44
16,5,262.77
16,6,324.41
16,7,445.28
16,8,599.19
16,9,635.51
16,10,627.19
16,11,448.49
16,12,264.37
16,13,184.25
16,14,99.39
16,15,67.97
16,16,48.89
16,17,38.20
16,18,42.74
32,1,182.76
32,2,178.71
32,3,184.80
32,4,232.55
32,5,337.58
32,6,570.01
32,7,792.75
32,8,853.08
32,9,796.35
32,10,647.60
32,11,389.75
32,12,200.55
32,13,91.75
32,14,67.53
32,15,48.63
32,16,41.28
32,17,33.29
32,18,35.95
